That was really a nightmare !  __sou__ Honey , what's up ?
Hi Benjamin . My name is Dr . Green . What seems to be the matter ? __eou__ I've been feeling pretty ill for a few days now . __eou__ What are your symptoms ? __eou__ I feel chilly , I've got cramps , I keep throwing up , and I feel dizzy and tired . __eou__ It sounds like you might be a bit dehydrated . Do you feel thirsty most of the day ? __eou__ Yes . I can't seem to drink enough . __eou__ Have you been drinking plenty of water ? __eou__ No , just soda . __eou__ Ok . Well , we'll have a nurse take some blood in a few minutes to see if you're dehydrated . First , let me feel your pulse .  __sou__ That seems to be a bit low , but that's not uncommon when you're ill .
What seems to be the problem , kid ? __eou__ I've got a sore throat , a runny nose and a headache . __eou__ Ah ... How long have you been like this ? __eou__ I am not very sure . Maybe for three days .  __sou__ Do you have any stomachache ?
Well , Peter . I'm sorry you're ill . What's the matter with you ? __eou__ I don't know , Doctor . I'm ill . I have a headache and a stomachache . __eou__ Show me your torgue.What did you eat yesterday ? __eou__ Well , Doctor , I . . . __eou__ Did you eat any cake ? __eou__ Yes , I ate some cake . __eou__ Did you eat any ice cream ?  __sou__ Well , yes , I did . I ate some ice cream .
Good morning , doctor . I've been suffering very much from a toothache lately . __eou__ Well , let me have a look . Will you sit down in this chair and open your mouth wide ? __eou__ I think one of the back ones at the top is giving me the most trouble . __eou__ Yes . This big one is badly decayed . I'm afraid it must be taken out . __eou__ Oh , I hate having teeth pulled out . Will it hurt ? __eou__ No need to worry . You won't feel anything at all . I'll give you an injection to stop the pain . Just wash your mouth out with this water , will you ? __eou__ Will it take long ? __eou__ No , it'll be over soon . Nurse , get some X-rays of our patient's molars . Then we'll start . Open your mouth wide . Don't be so nervous . Now open wider ... now stay , that's over ... __eou__ Is it out ? __eou__ Not yet , but it soon will be . Now open again please ... It's out ! Look !  __sou__ Well , really ! That was wonderful ! I felt no pain at all . Thank you , doctor .
I need help . I think my arm is broken . __eou__ Alright . Have you been to this hospital before ?  __sou__ No , I haven't . I need help quick . It hurts really badly .
Hi , Zina . I had a feeling you'd be stopping by .  __sou__ Then you've heard from Vital ?
How long does it take to get to downtown from here ? __eou__ It is 15 minutes ’ drive .  __sou__ What companies do we have in our neighborhood ?
Tell me something about your work experience . __eou__ Well , I have been in the computer engineering field for 6 years now . I am familiar with both hardware and software and with hands-on experience in system development including system analysis and design . __eou__ What systems have you worked on ? __eou__ I have worked on about every system that is out right now . __eou__ Do you feel comfortable with the new system by microcosm ? __eou__ I am not as familiar with it as I am with some of the older systems . But I am a fast learner and I can master it in a short time . __eou__ What do you consider your strengths ?  __sou__ I am knowledgeable and levelheaded .
It is quite important to be a good listener in the interview . __eou__ Listening carefully can show you understand and respect the speaker . __eou__ It can show your good attainment as well . __eou__ Besides , you can pick up some helpful information from the talk . __eou__ First of all , you should keep proper posture and make eye contact with the speaker with a smile . __eou__ To show that you have understood what is said , you can nod or ask simple questions at the right time . __eou__ And your statement should be clear and brief to the point . __eou__ Never should you interrupt on a unfamiliar topic .  __sou__ Sure , in order not to leave a bad impression on the interviewer .
I called about that ad we saw in the paper . __eou__ For the construction site manager ? __eou__ That's the one . __eou__ What happened ? __eou__ You were right . It was from a headhunter . She wouldn't tell me anything without a contract .  __sou__ Well , no surprise there .
You say he was around average hight . __eou__ Yeah , that's right , around five nine five ten . __eou__ Weight ? __eou__ I'm not sure.Medium , I suppose.Maybe a little on the heavy side .  __sou__ Any karks on his face ?
It ’ s nice meeting you . __eou__ It ’ s nice to meet you , too . __eou__ I am happy to be speaking to a presidential candidate . __eou__ Would you like to ask me anything ? __eou__ What do you feel about gay marriage ? __eou__ I think everyone has the right to love who they want . __eou__ Would you legalize gay marriage ?  __sou__ Yes , I would .
Oh , sir . I lost my passport . __eou__ Do you remember when and where you last saw it ? __eou__ I remember I saw when I was dining in the Aidan Restaurant . When I paid the bill , I saw it in my handbag .  __sou__ Could you please tell me your passport number ?
Were you able to get a look at the suspect's face ? __eou__ Yes . I know exactly what he looks like . __eou__ I must ask you to pick him out of a line-up . __eou__ That won't be a problem . __eou__ Look closely at the five men in this line-up . __eou__ I am looking . __eou__ Do you see the suspect ? __eou__ Yes . He's in the line-up . __eou__ What number is the suspect ?  __sou__ Number four .
I would like to speak to you , if you don ’ t mind . __eou__ What would you like to speak to me about ? __eou__ I would like to talk to you about this year ’ s election .  __sou__ Is that right ?
Good morning and welcome . How can I help you ? __eou__ Could you tell me something about safety deposit box rental , please ? I need somewhere safe to keep some insurance documents ; I just simply don't feel comfortable keeping them at home or in the office . __eou__ We have 3 different types of boxes . We usually rent for 1 year and the fee depends on the size and location of the box . __eou__ I think I'll go for the smallest , as it's just for documents . Will I be the only key holder ? I'd perhaps feel a little nervous if I knew someone else could have access to it at any time .  __sou__ You can have more than 1 key if you'd like , but we must have signature cards for each box .
I am afraid the label is not quite suitable for this locality . Could you quote us for the order with neutral cases ? __eou__ I am afraid not . We usually design the label ourselves . You know we should be responsible for the brand labels of our goods . __eou__ In that case , we'd like you to make some changes in the labeling .  __sou__ What are they ?
I would like to open an account today . __eou__ What kind ? __eou__ I want to open a checking account . __eou__ You need to keep a minimum balance . __eou__ How much is it ? __eou__ You need at least $ 100 in your account . __eou__ Is that all ? __eou__ Yes . That ’ s the minimum .  __sou__ What happens if I don ’ t meet that requirement ?
Can I help you , sir ? __eou__ Uh , yes . I'm going to the States and I need some traveler's checks . __eou__ All right . How much do you need ? __eou__ One thousand U . S . dollars . __eou__ One thousand U . S . Mm hmm . And are you going to pay cash ? __eou__ Oh , no . I want to withdraw from my U . S . dollars savings account .  __sou__ All right . Now can I have your passbook ?
Hello , Sir , may I help you ? __eou__ Yes . I would like some information for requesting a loan .  __sou__ Very well , here are the general terms of our loan policies . We pride ourselves in having the lowest interest rate in the country for personal loans .
Hi there ! I am looking for a new car . I have this old Ford Pinto that I would like to trade in . __eou__ I see . You are in luck this month because all of our models are on sale ! it is a perfect time to buy a new car since it ’ s the end of the year . __eou__ Perfect ! I like this one . __eou__ That is the Ford Focus . A very light but powerful vehicle . It comes with dual side airbags , power steering and power windows , tinted windows and your choice of either automatic or manual transmission . __eou__ Sounds like a good car ! How many miles to the gallon ? __eou__ It is a very fuel efficient vehicle giving you about 34 miles in the city and 40 on the highway . __eou__ That is really convenient . Especially now that fuel prices are so high ! What ’ s under the hood ? __eou__ A very powerful 2.5- liter turbocharged engine , Trust me , this car is fast !  __sou__ Now for the most difficult question . What is the price tag for this lovely vehicle ?
I think this suit displays your nice finger .  __sou__ Thank you . Could you change it for a purple one ?
Could you do me a favor ? __eou__ Sure . What is it ? __eou__ Could you run over to the store ? We need a few things . __eou__ All right . What do you want me to get ? __eou__ Well , could you pick up some sugar ? __eou__ Okay . How much ? __eou__ A small bag . I guess we also need a few oranges . __eou__ How many ? __eou__ Oh , let's see . . . About six . __eou__ Anything else ? __eou__ Yes . We're out of milk . __eou__ Okay . How much do you want me to get ? A gallon ? __eou__ No . I think a half gallon will be enough . __eou__ Is that all ? __eou__ I think so . Have you got all that ?  __sou__ Yes . That's small bag of sugar , four oranges , and a half gallon of milk .
Good afternoon . __eou__ My goodness ! It ’ s the afternoon ? Doesn ’ t the time fly ! Do come in and sit down . __eou__ Thank you . __eou__ What ’ s the time ? My watch has stopped . __eou__ It ’ s half past twelve . __eou__ When do you have lunch ? __eou__ From one to two . __eou__ What do you normally eat ?  __sou__ We usually go to the cafeteria .
Can you do me a favor ?  __sou__ Sure . What is it ?
What can I do for you ? __eou__ I am returning these books . __eou__ What did you do to this book ? __eou__ I accidentally ripped the cover . __eou__ You will need to pay for the damage . __eou__ How much do I need to pay ? __eou__ I ’ m going to need $ 5.00 . __eou__ That ’ s not too expensive . __eou__ It isn ’ t . __eou__ Here ’ s the $ 5.00 . __eou__ Thank you .  __sou__ No problem . Have a good one .
How do you usually get to school ? __eou__ I usually ride my bike . Which form of transport do you prefer to use ?  __sou__ I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car .
What do you like to do with your free time ?  __sou__ Study English .
What can I do for you today ? __eou__ I need to return a book . __eou__ Can I do anything else for you ? __eou__ I would also like to check out this video .  __sou__ Is that all ?
Hi Cody , how did practicing go this week ? __eou__ Well I had several tests and an oral presentation this week so I didn ’ t get a chance to memorize the second page , but I think I mastered the tricky section .  __sou__ Great ! Warm up with some scales and arpeggios first . Good , good . This week , work on keeping the rhythm steady when you play the last part with the sixteenth note . Now let ’ s take a look at this
Are you a newcomer ? __eou__ Yeah , this is my first visit here . __eou__ You speak good English , though . __eou__ Thanks , but I speak English with a strong German accent . __eou__ But let me tell you , you're doing just fine . I couldn't do half as well as you do when I was learning German.By the way , how long have you been learning English ?  __sou__ On and off , for quite a few years .
Guess what came in the mail today ? __eou__ What ? __eou__ My acceptance letter to Yale ! __eou__ Wow ! Congratulation ! When do classes start ? __eou__ Freshman orientation is the last week of august , but I want to go two weeks before that to get settled in . __eou__ You ’ re so lucky ! Do you have to do many things before you leave ? __eou__ Yes . I ’ ll be very busy ! I have to get a visa , buy a plane ticket , and pack my things . But first , I want to register for classes . __eou__ When can you do that ? __eou__ Well , they sent me their prospectus , so I can start looking now . do you want to help me decide which classed to take ? __eou__ Sure . What can you choose from ? __eou__ Well , I have to take all the fundamental course , plus a few from my major . __eou__ What is your major ?  __sou__ I hope to major in English literature , but the admissions counselor told me that many people change their major many times in their first year , so we ’ ll see .
Eric , how long will you be in China ? __eou__ I don't know . Well , my contract here is for one year , and I don't know what I should do after that . Maybe going around for a while . __eou__ Well , have you ever thought about learning some Chinese ? __eou__ Actually , I am learning that now . But it's too hard for me . You know the four tones and the stuff . It really freaks me out . __eou__ Don't worry . All things are difficult before they are easy . __eou__ You hit the nail right on the head . __eou__ Well , are you invested in some language-exchange program ? __eou__ What is it ? __eou__ It's where I teach you Chinese , and in exchange you teach me English . __eou__ Awesome . I've been giving this a lot of thought . When can we do this ? __eou__ How about this sunday ? __eou__ Ok , cool . __eou__ Good . I'll give you a call tonight . __eou__ No problem .  __sou__ Bye .
Guess what came in the mail today ? __eou__ What ? __eou__ My acceptance letter to Yale ! __eou__ Wow ! Congratulation ! When do classes start ? __eou__ Freshman orientation is the last week of august , but I want to go two weeks before that to get settled in . __eou__ You ’ re so lucky ! Do you have to do many things before you leave ? __eou__ Yes . I ’ ll be very busy ! I have to get a visa , buy a plane ticket , and pack my things . But first , I want to register for classes . __eou__ When can you do that ? __eou__ Well , they sent me their prospectus , so I can start looking now . do you want to help me decide which classed to take ? __eou__ Sure . What can you choose from ? __eou__ Well , I have to take all the fundamental course , plus a few from my major . __eou__ What is your major ? __eou__ I hope to major in English literature , but the admissions counselor told me that many people change their major many times in their first year , so we ’ ll see . __eou__ What are the fundamental course ? __eou__ In order to graduate , every student must take a certain amount of classes in history , math , English , philosophy , science and art . __eou__ Interesting . That ’ s very different from the Chinese education system . __eou__ Yes , it is . It ’ s also very different from the British education system . __eou__ Really ?  __sou__ oh , sure . In British , students don ’ t have to take the foundation course .
I give up ! I simply can't learn French ! __eou__ Why do you say that ? I think you're making a lot of progress . __eou__ No , I'm not . I try and try and I still can't speak it very well . __eou__ Learning any language takes a lot of effort.But don't give up . Why don't we practise those dialogues together ?  __sou__ Good idea . That might help .
Wow , the view from the peak is so grand !  __sou__ Look , most of the maple leaves have turned red .
Can I help you ? __eou__ Yes , can I return this article , please ? __eou__ May I know the reason , madam ? __eou__ You see , I bought it for my husband , but he doesn't like it .  __sou__ When did you buy it ?
Sorry , I overslept . My alarm clock didn't go off this morning . __eou__ Again ? __eou__ That's right , even though I did set the alarm last night .  __sou__ Your clock never works . Perhaps you should buy a new one .
Can I help you ? __eou__ Yes , can I return this article , please ? __eou__ May I know the reason , madam ? __eou__ You see , I bought it for my husband , but he doesn't like it . __eou__ When did you buy it ? __eou__ Last Saturday . __eou__ Can I see the receipt ? __eou__ Yes , here you are .  __sou__ Well , if there is no damage , you can return it .
I was thinking of holding the company retreat in the mountains . __eou__ I agree , I think that that would be perfect ! __eou__ I was thinking it could take place sometime in January . __eou__ That might be a little too cold for some people . __eou__ Yes , you are right . __eou__ What about April ? April has good weather that isn't too cold or too hot . __eou__ Yes , that would work out better . __eou__ You know , maybe we could take a survey to see how that works for everyone . __eou__ Good idea ! We'll have to get right on it .  __sou__ Fine ! Well , I'll get right on it now !
Have you heard anything about Markweed Inc . ? They have called me back for interview , and I'm considering taking a job with them .  __sou__ Well , to start with , Markweed Inc . has a reputation for being one of the best employers in the field .
Tom did me many favors .  __sou__ For example ?
What a wonderful dinner ! __eou__ Thank you . I am glad that you are enjoying it . __eou__ Where did you get your fantastic recipes ? __eou__ I grew up cooking . My mother shared her recipes with me . __eou__ I especially like the wonderful chicken dish . __eou__ That is a special coconut ginger chicken with rice dish . __eou__ Is that shrimp in the soup ?  __sou__ Yes , do you like it ? I added a little extra lemon grass and some sea vegetables .
Dalian is a beautiful city . Do you agree ? __eou__ I suppose I do . __eou__ The climate here is pleasant . __eou__ They use said it __eou__ This city is really comfortable to living .  __sou__ It sure is
How are you tonight , sir ? __eou__ Oh , not too bad . I'm just glad the weekend's finally here .  __sou__ I know what you mean . What can I get for you ?
Can I help you , sir ? __eou__ Yes , I want to book a plane ticket from Beijing to Shanghai . __eou__ OK . Which day do you want to book ?  __sou__ The day after tomorrow .
Hello . I have a room booked for tonight , the 15th . __eou__ Alright and what is your name , please ? __eou__ It's Marcia Gleason .  __sou__ Ah , yes , here you are Ms . Gleason . You reserved a single , right ?
Housekeeping . May I help you ?  __sou__ Yeah , the people in the next room are a little loud . Could you do something about it ?
Good morning , Miss.Are there boat tickets to Miami on the first of September __eou__ Yes , there are . What cabin would you like ? __eou__ I'd like the first-class cabin for two . What's the fare ? __eou__ It is 150 dollars each . __eou__ How long is the boat time-table effective ? __eou__ The boat time-table is effective from the first of August till the first of November __eou__ I want to know what port does our ship stop at ? __eou__ The ship will stop at New York .  __sou__ How long will the trip take from here to New York ?
Good morning , can I help you ? __eou__ Yes , could I settle my bill , please ? __eou__ Yes . of course . May I have your name and your room number , please ? __eou__ Wang Wei , Room 1202 . __eou__ OK , Mr . Wang , here is your bill . The total amount is US $ 120 . __eou__ The figure seems right . __eou__ How do you wish to settle your account , sir ? __eou__ By credit card , please . And what kind of credit cards do you honor ? __eou__ We accept Master Card , American Express and Visa .  __sou__ Then I'll put it on my Master Card . Here you are .
Good afternoon , Chloe , I ’ m Doctor Evans.What seems to be the problem ? __eou__ Hi , Dr Evans . Thanks for seeing me on such short notice . When I woke up this morning I had a really sore throat and a really bad cough . I think I am coming down with the flu . __eou__ Ah I see , yes you do sound rather croaky . Well let ’ s have a look , shall we ? Could you please open your mouth and say ” ah ” . __eou__ Ahhhhhhhh  __sou__ Good , yes , your tonsils are a little swollen and red . How are your ears , blocked at all ?
What's wrong with you , young man ? __eou__ Doctor , I have a bad cough and a headache . __eou__ Do you have a fever ? __eou__ I don't know , but I feel terrible . __eou__ Let me examine you . Don't worry . It's nothing serious . __eou__ Do you think I should lie in bed ? __eou__ Yes , stay in bed and drink a lot of water . Your fever will be gone in a day or two . __eou__ OK . Do you think I can play football tomorrow ? __eou__ Of course not . You need a good rest .  __sou__ OK , I'll listen to you .
Verry sorry to have kept you waiting so long . What do you want , Madam ? __eou__ I want haircut and perm . __eou__ How long would you like your haircut today ? __eou__ Just cut a little off . __eou__ You wanna tight , medium or naturally curly perm ?  __sou__ I'd like to have medium .
I have a sore throat and my chest hurts . __eou__ How long have you been like this ? __eou__ Two or three days now . __eou__ I think you've got the flu . There's a lot of it going around .  __sou__ What do you think I ought to do ?
Doctor Lin's Office .  __sou__ I need to make an appointment to see the doctor .
Good afternoon . I'd like to speak with Tom Smith . __eou__ I'm afraid he's away from his desk at the moment . __eou__ Do you know when he will be back ? __eou__ He's away on a business trip . He won't be back until some time next week . __eou__ Is there some way I can get into contact with him ?  __sou__ The best way to reach him is by cell phone . I'll give you his number .
Excuse me , Bill ? __eou__ Hi , Christine . How ’ s it going ?  __sou__ Fine , thanks . Mr . Emory would like to meet with Mr . Macmillan tomorrow afternoon . Can you take a look at his book ?
What is your great struck ? __eou__ I think I ’ m very good at planning . I manage my time perfectly , so that I can always get things done on time . __eou__ Why do you think you be a good fit or this job ? __eou__ Because I ’ m very competent in this area . __eou__ Are you working under pressure ? __eou__ Yes , I work well under pressure and find it dimly . However , I believe planning and probable management of my time can reduce tight deadlines . __eou__ Are you more a follower or a leader ?  __sou__ I don ’ t try to go ahead of people and lead them , I ’ d rather cooperate with everybody else and get the job done by working together .
